target pageflip timestamp,pageflip timestamp,render start,render end,safety margin,refresh duration,vrr,tearing,predicted render time
8041051743666,8041051826000,8041018254365,8041023816628,20907943,16668333,0,0,20073766
8041068456666,8041068536000,8041044299231,8041050103315,18200356,16668333,0,0,19898047
8041101872666,8041118657000,8041078589393,8041086615939,20542254,16668333,0,0,19692328
8041135209332,8041152075000,8041113286469,8041120417753,20444399,16668333,0,0,19692328
8041168661999,8041185491000,8041147920738,8041156958515,21133587,16668333,0,0,19635476
8041202079999,8041218903000,8041182599800,8041190031325,20379715,16668333,0,0,19531591
8041235495999,8041252317000,8041217744156,8041226814404,21423111,16668333,0,0,19573421
8041268907999,8041285735000,8041252092289,8041260551443,22325179,16668333,0,0,19486583
8041319071666,8041319150000,8041286787872,8041294371199,-61734447,16668333,0,0,19511058
8041402491665,8041469523000,8041443358026,8041450398447,18079876,16668333,0,0,19427839
8041419159998,8041486235000,8041460596827,8041467596157,18750782,16668333,0,0,19427839
8041519571666,8041519644000,8041486389523,8041494854080,21444409,16668333,0,0,18845686
8041552980666,8041553060000,8041520688930,8041526576174,20826807,16668333,0,0,18851994
8041586396666,8041586477000,8041555089830,8041560856266,21502788,16668333,0,0,18672530
8041619813666,8041619898000,8041589677440,8041597284937,21223686,16668333,0,0,18493155
8041636481999,8041636602000,8041602754123,8041611940159,21348200,16668333,0,0,18493155
8041653234666,8041653310000,8041623318984,8041629053169,22738299,16668333,0,0,18447272
8041669938666,8041670019000,8041636705378,8041640962943,22045793,16668333,0,0,18485499
8041686646666,8041686724000,8041658662402,8041665360541,20664534,16668333,0,0,18396623
8041720060666,8041736848000,8041692636900,8041707423658,21921430,16668333,0,0,18209417
8041753397332,8041753557000,8041727138906,8041735007469,18790927,16668333,0,0,18209417
8041786893666,8041786971000,8041761399503,8041767969582,19407789,16668333,0,0,22985149
8041820307666,8041820391000,8041795853962,8041802060226,18035194,16668333,0,0,22803837
8041853727666,8041870511000,8041830961203,8041838202244,20185644,16668333,0,0,22605193
8041887064332,8041903931000,8041865661673,8041874099963,20715011,16668333,0,0,22605193
8041920515999,8041937345000,8041900544984,8041908041478,-63598118,16668333,0,0,22423315
